dataset,instance_id,repo,base_commit,version,language,has_image_url,repo_order,repo_quota,provisional_selected,environment_status,gold_control_status
omni,assertj__assertj-2685,assertj/assertj,d5180a6d7c1af6ac7272268ee87dad54ae01ee7c,2.2,Java,False,1,1,True,not_run,not_run
omni,babel__babel-15209,babel/babel,f6546d79d4c56809fc80d5414d6f7803eca9d59b,7.20,TypeScript,False,1,4,True,not_run,not_run
omni,babel__babel-15355,babel/babel,0f68471ef79933e192b69f2ebdf586fb5d5e54ce,7.20,TypeScript,False,2,4,True,not_run,not_run
omni,babel__babel-15103,babel/babel,292e5d6b671633d8d859b0269baf4b7c0dfc793a,7.20,TypeScript,False,3,4,True,not_run,not_run
omni,babel__babel-15198,babel/babel,31386b9eb4863eb07ec2d302e2cfcfa039eaf644,7.20,TypeScript,False,4,4,True,not_run,not_run
omni,dateutil__dateutil-573,dateutil/dateutil,324d6d5a0dd962cf4d81776c31328c40f1d6087e,2.7,Python,False,1,2,True,not_run,not_run
omni,dateutil__dateutil-700,dateutil/dateutil,65b59f0e864a7bd647b5bb8dbee156b06ef9f6c9,2.7,Python,False,2,2,True,not_run,not_run
omni,google__gson-2376,google/gson,77b566ced0127baf8d9ebf071b50c0f36e296538,2.10,Java,False,1,1,True,not_run,not_run
omni,iamkun__dayjs-1470,iamkun/dayjs,0fdac93ff2531542301b76952be9b084b2e2dfa0,1.10,JavaScript,False,1,3,True,not_run,not_run
omni,iamkun__dayjs-2360,iamkun/dayjs,b3624de619d6e734cd0ffdbbd3502185041c1b60,1.11,JavaScript,False,2,3,True,not_run,not_run
omni,iamkun__dayjs-1031,iamkun/dayjs,e1890c969122c677350af2f457b7066d1fcf787a,1.8,JavaScript,False,3,3,True,not_run,not_run
omni,jestjs__jest-15138,jestjs/jest,c54bccd657fb4cf060898717c09f633b4da3eec4,30.0,TypeScript,False,1,1,True,not_run,not_run
omni,netty__netty-7612,netty/netty,27ff15319c2e566c44e333b9bd59cf210c130c2f,4.1,Java,False,1,2,True,not_run,not_run
omni,netty__netty-8454,netty/netty,d4b1202e62e52dc9b5619e666f5b0033d8a32bc9,4.1,Java,False,2,2,True,not_run,not_run
omni,prettier__prettier-11992,prettier/prettier,a91465dfdef9e41995317756240c975c8acc8390,2.6,JavaScript,False,1,8,True,not_run,not_run
omni,prettier__prettier-14208,prettier/prettier,cf409fe6a458d080ed7f673a7347e00ec3c0b405,2.9,JavaScript,False,2,8,True,not_run,not_run
omni,prettier__prettier-15915,prettier/prettier,12f91dd1a9bbcd0a93f9f5bf91bf99f1af5f4bb9,3.3,JavaScript,False,3,8,True,not_run,not_run
omni,prettier__prettier-14587,prettier/prettier,dd779dae55133f3065817608636e26d6b81a9e62,2.9,JavaScript,False,4,8,True,not_run,not_run
omni,prettier__prettier-15525,prettier/prettier,427a84d24203e2d54160cde153a1e6a6390fe65a,3.1,JavaScript,False,5,8,True,not_run,not_run
omni,prettier__prettier-16358,prettier/prettier,13163d9b7543021d1f24edadbc0e5a2b1598d478,3.4,JavaScript,False,6,8,True,not_run,not_run
omni,prettier__prettier-15756,prettier/prettier,4c3cfa7a813e072ae4f581ecf6c5b27ebb063f15,3.2,JavaScript,False,7,8,True,not_run,not_run
omni,prettier__prettier-15827,prettier/prettier,66a23c9331e2c652f8e08fd05a65d2bea7fe5c1a,3.2,JavaScript,False,8,8,True,not_run,not_run
omni,pyca__cryptography-5879,pyca/cryptography,f69f27b1dd20ad2d24f48053a72545527e808104,35.0,Python,False,1,1,True,not_run,not_run
omni,python__mypy-13648,python/mypy,0f17aff06ac1c05c442ba989e23655a2c6adbfbf,0.980,Python,False,1,11,True,not_run,not_run
omni,python__mypy-13551,python/mypy,92118a9ad8a9b652533f07385488aaef382f8bac,0.980,Python,False,2,11,True,not_run,not_run
omni,python__mypy-14224,python/mypy,98f1b00a3b41b3734f7a20adbd755c13e37beb43,1.0,Python,False,3,11,True,not_run,not_run
omni,python__mypy-12792,python/mypy,7fbf4deb845d6041700d1addc6eaa2097560f0f3,0.960,Python,False,4,11,True,not_run,not_run
omni,python__mypy-12767,python/mypy,03901ef657daf6f477e6fe933c42ac270cf5034b,0.960,Python,False,5,11,True,not_run,not_run
omni,python__mypy-12048,python/mypy,6d243321d632c47b9fef5f2ad6a972f9f4b94eff,0.940,Python,False,6,11,True,not_run,not_run
omni,python__mypy-12435,python/mypy,fd8a15e1abdd2bb4f75c3a6319ebfba233e1fe8e,0.950,Python,False,7,11,True,not_run,not_run
omni,python__mypy-13468,python/mypy,2ba64510ad1d4829b420c2bc278990f037e03721,0.980,Python,False,8,11,True,not_run,not_run
omni,python__mypy-13604,python/mypy,130e1a4e6fc5b14fda625495e25abd177af61bbb,0.980,Python,False,9,11,True,not_run,not_run
omni,python__mypy-14801,python/mypy,243f584d43e6eb316920f3155067ce7c1b65d473,1.2,Python,False,10,11,True,not_run,not_run
omni,python__mypy-14060,python/mypy,dbcbb3f5c3ef791c98088da0bd1dfa6cbf51f301,1.0,Python,False,11,11,True,not_run,not_run
omni,redis__redis-py-3264,redis/redis-py,e71119de095bb01201665d57a1dc63230aa0606e,5.0,Python,False,1,1,True,not_run,not_run
omni,statsmodels__statsmodels-8669,statsmodels/statsmodels,ef9cf3ad5bf73c84027421ff5595647f0fefb32b,0.13,Python,False,1,3,True,not_run,not_run
omni,statsmodels__statsmodels-9016,statsmodels/statsmodels,45a744de6c2d17bce6539d089d0f7426bc45630b,0.14,Python,False,2,3,True,not_run,not_run
omni,statsmodels__statsmodels-8137,statsmodels/statsmodels,59a553e8102257a1f6c7bcd42e5fd1abd94c1c51,0.13dev,Python,False,3,3,True,not_run,not_run
omni,tailwindlabs__tailwindcss-7789,tailwindlabs/tailwindcss,c6097d59fcd3b4a176188327adee488c562ecb8f,3.0,TypeScript,True,1,6,True,not_run,not_run
omni,tailwindlabs__tailwindcss-8222,tailwindlabs/tailwindcss,3989f77dd3fa5765f818e7b24bc52d95504a2e0c,3.0,TypeScript,False,2,6,True,not_run,not_run
omni,tailwindlabs__tailwindcss-9008,tailwindlabs/tailwindcss,0b5bfc8065e928caa7cf11a7bac37fda10411b6f,3.1,TypeScript,False,3,6,True,not_run,not_run
omni,tailwindlabs__tailwindcss-4272,tailwindlabs/tailwindcss,76c670fc2913eb03a340a015d30d3db53cca9c22,2.1,TypeScript,False,4,6,True,not_run,not_run
omni,tailwindlabs__tailwindcss-12105,tailwindlabs/tailwindcss,61dc99f4adbebdbcfeb899f3bcd64167b49d758c,3.3,TypeScript,False,5,6,True,not_run,not_run
omni,tailwindlabs__tailwindcss-8831,tailwindlabs/tailwindcss,b4e637e2e096a9d6f2210efba9541f6fd4f28e56,3.1,TypeScript,False,6,6,True,not_run,not_run
omni,tqdm__tqdm-850,tqdm/tqdm,81065068901665949fa90b82e9ee60198fb11980,4.40,Python,False,1,2,True,not_run,not_run
omni,tqdm__tqdm-592,tqdm/tqdm,625a7dcd8e9e27bee012627e689573bcda8aadf1,4.24,Python,False,2,2,True,not_run,not_run
omni,webpack__webpack-15746,webpack/webpack,1132eb3f38cc5d3365646e06022aef64b8015c61,5.73,JavaScript,False,1,4,True,not_run,not_run
omni,webpack__webpack-15608,webpack/webpack,e51f8347026588c90f9bd91681597e97f24f40c9,5.78,JavaScript,False,2,4,True,not_run,not_run
omni,webpack__webpack-17137,webpack/webpack,ba56e05b24014bb513eab95f4fa37c751212e0a9,5.82,JavaScript,False,3,4,True,not_run,not_run
omni,webpack__webpack-18059,webpack/webpack,51f0f0aeac072f989f8d40247f6c23a1995c5c37,5.90,JavaScript,False,4,4,True,not_run,not_run
