dataset,instance_id,repo,base_commit,version,language,has_image_url,repo_order,repo_quota,provisional_selected,environment_status,gold_control_status
swe,Automattic__wp-calypso-21977,Automattic/wp-calypso,6c46667b4d171af667fa6fc0990c0cf35e954ae3,8.9.3,JavaScript/TypeScript,True,1,18,True,not_run,not_run
swe,Automattic__wp-calypso-34519,Automattic/wp-calypso,9231480516c5a3eed1d400baceca5b7169eba4cb,10.15.2,JavaScript/TypeScript,True,2,18,True,not_run,not_run
swe,Automattic__wp-calypso-25257,Automattic/wp-calypso,24f0f91bbd36dc626fac11714a900d5b4d9b5cf9,8.11.2,JavaScript/TypeScript,True,3,18,True,not_run,not_run
swe,Automattic__wp-calypso-29804,Automattic/wp-calypso,73ff0f9af67b31202eadf17fa93be4d406d418ab,10.14.0,JavaScript/TypeScript,True,4,18,True,not_run,not_run
swe,Automattic__wp-calypso-30240,Automattic/wp-calypso,fac839d3f39b142a7257510e46e7916def20f0ca,10.14.0,JavaScript/TypeScript,True,5,18,True,not_run,not_run
swe,Automattic__wp-calypso-21648,Automattic/wp-calypso,9dc9380527d54dcc2e0679c8f092ec9d55037f29,8.9.3,JavaScript/TypeScript,True,6,18,True,not_run,not_run
swe,Automattic__wp-calypso-26008,Automattic/wp-calypso,fe332f6e041fa5949a5062cf818f66fc6cb1f0e1,10.6.0,JavaScript/TypeScript,True,7,18,True,not_run,not_run
swe,Automattic__wp-calypso-35531,Automattic/wp-calypso,9e445e13dd96de61e7b7c5c98ad98e12268a4d12,10.15.2,JavaScript/TypeScript,True,8,18,True,not_run,not_run
swe,Automattic__wp-calypso-33752,Automattic/wp-calypso,a8b6633f060ab38130c363009b8e6aa10fa4055a,10.15.2,JavaScript/TypeScript,True,9,18,True,not_run,not_run
swe,Automattic__wp-calypso-21409,Automattic/wp-calypso,91b73692253827a03cfbd98411a5d809b46a776b,8.9.3,JavaScript/TypeScript,True,10,18,True,not_run,not_run
swe,Automattic__wp-calypso-21635,Automattic/wp-calypso,0bab036290b284735a7b5043cc11d194bd8ec37d,8.9.3,JavaScript/TypeScript,True,11,18,True,not_run,not_run
swe,Automattic__wp-calypso-34820,Automattic/wp-calypso,4250bc3ebba1c9fe1cbf0e913723f1177985dca2,10.15.2,JavaScript/TypeScript,True,12,18,True,not_run,not_run
swe,Automattic__wp-calypso-21769,Automattic/wp-calypso,6812e4b9ed2cbf65cf7ecaba2ff5fcb75e37865b,8.9.3,JavaScript/TypeScript,True,13,18,True,not_run,not_run
swe,Automattic__wp-calypso-23991,Automattic/wp-calypso,4e8168f998f4619a58251fb93fdc0683596399bc,8.11.0,JavaScript/TypeScript,True,14,18,True,not_run,not_run
swe,Automattic__wp-calypso-22621,Automattic/wp-calypso,7e634d48378bf52ad659e902d3a4b82e579cc6cd,8.9.4,JavaScript/TypeScript,True,15,18,True,not_run,not_run
swe,Automattic__wp-calypso-22242,Automattic/wp-calypso,30b6c1b8d322efcd61485fd28f57364640d831c6,8.9.3,JavaScript/TypeScript,True,16,18,True,not_run,not_run
swe,Automattic__wp-calypso-23915,Automattic/wp-calypso,24d762a0fe3a92500f92323b038a2389cb6ecae5,8.11.0,JavaScript/TypeScript,True,17,18,True,not_run,not_run
swe,Automattic__wp-calypso-33245,Automattic/wp-calypso,5d0969c7b7f1eb23d74e6b25cf3a8751ab36be05,10.15.2,JavaScript/TypeScript,True,18,18,True,not_run,not_run
swe,Automattic__wp-calypso-27090,Automattic/wp-calypso,c73ce2eab8daebaeec5803c30427f2c91c8ef9c0,10.9.0,JavaScript/TypeScript,True,19,18,False,not_run,not_run
swe,Automattic__wp-calypso-32764,Automattic/wp-calypso,f6bd966b656c4c84ea0aebcdd341f601cd8cc292,10.15.2,JavaScript/TypeScript,True,20,18,False,not_run,not_run
swe,Automattic__wp-calypso-22709,Automattic/wp-calypso,58478c529c2ea594a96c89a8c8daa3f7d22c2dda,8.9.4,JavaScript/TypeScript,True,21,18,False,not_run,not_run
swe,Automattic__wp-calypso-23017,Automattic/wp-calypso,2a551f4bca5cc25baa9d2ac5cf5b2684ef4ee98c,8.9.4,JavaScript/TypeScript,True,22,18,False,not_run,not_run
swe,Automattic__wp-calypso-21492,Automattic/wp-calypso,97d16987f9b4897e3e71ab9d3688ad59d4c57e3d,8.9.3,JavaScript/TypeScript,True,23,18,False,not_run,not_run
swe,Automattic__wp-calypso-25778,Automattic/wp-calypso,54d626a276373d45ffddd2cf4f7099733c8e43de,10.5.0,JavaScript/TypeScript,True,24,18,False,not_run,not_run
swe,Automattic__wp-calypso-34435,Automattic/wp-calypso,c04808de96782fb03d59914beff43e9bb1784b69,10.15.2,JavaScript/TypeScript,True,25,18,False,not_run,not_run
swe,Automattic__wp-calypso-33948,Automattic/wp-calypso,d1c128c3c97e81421f8137c138a2a1b112d44c8b,10.15.2,JavaScript/TypeScript,True,26,18,False,not_run,not_run
swe,Automattic__wp-calypso-23377,Automattic/wp-calypso,01c60033934bb2c7df5ac14e1153f7739696042e,8.9.4,JavaScript/TypeScript,True,27,18,False,not_run,not_run
swe,Automattic__wp-calypso-25725,Automattic/wp-calypso,af9cf1f55288ebefb6cd1d796df3893db41f2292,10.5.0,JavaScript/TypeScript,True,28,18,False,not_run,not_run
swe,Automattic__wp-calypso-22026,Automattic/wp-calypso,adc68ed44a6cb224a1dcfa0642284e2bf0fe4f77,8.9.3,JavaScript/TypeScript,True,29,18,False,not_run,not_run
swe,Automattic__wp-calypso-21964,Automattic/wp-calypso,4be8bc55357f68a51c2d0aeabe9b87820625aff8,8.9.3,JavaScript/TypeScript,True,30,18,False,not_run,not_run
