dataset,instance_id,repo,base_commit,version,language,has_image_url,repo_order,repo_quota,provisional_selected,environment_status,gold_control_status
swe,Automattic__wp-calypso-21977,Automattic/wp-calypso,6c46667b4d171af667fa6fc0990c0cf35e954ae3,8.9.3,JavaScript/TypeScript,True,1,18,True,not_run,not_run
swe,Automattic__wp-calypso-34519,Automattic/wp-calypso,9231480516c5a3eed1d400baceca5b7169eba4cb,10.15.2,JavaScript/TypeScript,True,2,18,True,not_run,not_run
swe,Automattic__wp-calypso-25257,Automattic/wp-calypso,24f0f91bbd36dc626fac11714a900d5b4d9b5cf9,8.11.2,JavaScript/TypeScript,True,3,18,True,not_run,not_run
swe,Automattic__wp-calypso-29804,Automattic/wp-calypso,73ff0f9af67b31202eadf17fa93be4d406d418ab,10.14.0,JavaScript/TypeScript,True,4,18,True,not_run,not_run
swe,Automattic__wp-calypso-30240,Automattic/wp-calypso,fac839d3f39b142a7257510e46e7916def20f0ca,10.14.0,JavaScript/TypeScript,True,5,18,True,not_run,not_run
swe,Automattic__wp-calypso-21648,Automattic/wp-calypso,9dc9380527d54dcc2e0679c8f092ec9d55037f29,8.9.3,JavaScript/TypeScript,True,6,18,True,not_run,not_run
swe,Automattic__wp-calypso-26008,Automattic/wp-calypso,fe332f6e041fa5949a5062cf818f66fc6cb1f0e1,10.6.0,JavaScript/TypeScript,True,7,18,True,not_run,not_run
swe,Automattic__wp-calypso-35531,Automattic/wp-calypso,9e445e13dd96de61e7b7c5c98ad98e12268a4d12,10.15.2,JavaScript/TypeScript,True,8,18,True,not_run,not_run
swe,Automattic__wp-calypso-33752,Automattic/wp-calypso,a8b6633f060ab38130c363009b8e6aa10fa4055a,10.15.2,JavaScript/TypeScript,True,9,18,True,not_run,not_run
swe,Automattic__wp-calypso-21409,Automattic/wp-calypso,91b73692253827a03cfbd98411a5d809b46a776b,8.9.3,JavaScript/TypeScript,True,10,18,True,not_run,not_run
swe,Automattic__wp-calypso-21635,Automattic/wp-calypso,0bab036290b284735a7b5043cc11d194bd8ec37d,8.9.3,JavaScript/TypeScript,True,11,18,True,not_run,not_run
swe,Automattic__wp-calypso-34820,Automattic/wp-calypso,4250bc3ebba1c9fe1cbf0e913723f1177985dca2,10.15.2,JavaScript/TypeScript,True,12,18,True,not_run,not_run
swe,Automattic__wp-calypso-21769,Automattic/wp-calypso,6812e4b9ed2cbf65cf7ecaba2ff5fcb75e37865b,8.9.3,JavaScript/TypeScript,True,13,18,True,not_run,not_run
swe,Automattic__wp-calypso-23991,Automattic/wp-calypso,4e8168f998f4619a58251fb93fdc0683596399bc,8.11.0,JavaScript/TypeScript,True,14,18,True,not_run,not_run
swe,Automattic__wp-calypso-22621,Automattic/wp-calypso,7e634d48378bf52ad659e902d3a4b82e579cc6cd,8.9.4,JavaScript/TypeScript,True,15,18,True,not_run,not_run
swe,Automattic__wp-calypso-22242,Automattic/wp-calypso,30b6c1b8d322efcd61485fd28f57364640d831c6,8.9.3,JavaScript/TypeScript,True,16,18,True,not_run,not_run
swe,Automattic__wp-calypso-23915,Automattic/wp-calypso,24d762a0fe3a92500f92323b038a2389cb6ecae5,8.11.0,JavaScript/TypeScript,True,17,18,True,not_run,not_run
swe,Automattic__wp-calypso-33245,Automattic/wp-calypso,5d0969c7b7f1eb23d74e6b25cf3a8751ab36be05,10.15.2,JavaScript/TypeScript,True,18,18,True,not_run,not_run
swe,chartjs__Chart.js-9871,chartjs/Chart.js,6bc47d3cea5ac0f496dc1b6bd53ed2fa5e1446d1,3.6,JavaScript/TypeScript,True,1,12,True,not_run,not_run
swe,chartjs__Chart.js-9199,chartjs/Chart.js,599e23abfd1bb3545e350d62647f19911125872b,3.3,JavaScript/TypeScript,True,2,12,True,not_run,not_run
swe,chartjs__Chart.js-9399,chartjs/Chart.js,31be6100015fbca3b639bcd63f9d03b52f21e171,3.4,JavaScript/TypeScript,True,3,12,True,not_run,not_run
swe,chartjs__Chart.js-8650,chartjs/Chart.js,420aa027b305c91380d96d05e39db2767ec1333a,3.0,JavaScript/TypeScript,True,4,12,True,not_run,not_run
swe,chartjs__Chart.js-8162,chartjs/Chart.js,e3953acf1edb80c3e99c53ea22634304f3c31afa,3.0,JavaScript/TypeScript,True,5,12,True,not_run,not_run
swe,chartjs__Chart.js-9027,chartjs/Chart.js,e021a77214daecbca0502da9d4245acbc2c46a1e,3.2,JavaScript/TypeScript,True,6,12,True,not_run,not_run
swe,chartjs__Chart.js-9764,chartjs/Chart.js,12c5f9a8396f2a472f331ef772d6c7ba5cd62513,3.5,JavaScript/TypeScript,True,7,12,True,not_run,not_run
swe,chartjs__Chart.js-8567,chartjs/Chart.js,91628c144944029505de093c43733961ab4f420f,3.0,JavaScript/TypeScript,True,8,12,True,not_run,not_run
swe,chartjs__Chart.js-9766,chartjs/Chart.js,12c5f9a8396f2a472f331ef772d6c7ba5cd62513,3.5,JavaScript/TypeScript,True,9,12,True,not_run,not_run
swe,chartjs__Chart.js-9101,chartjs/Chart.js,927f24a809834100c138dc70cffd9e9b920478a5,3.2,JavaScript/TypeScript,True,10,12,True,not_run,not_run
swe,chartjs__Chart.js-8868,chartjs/Chart.js,ba84cc5c2aaf500739b202702fac24da74ede50d,3.0,JavaScript/TypeScript,True,11,12,True,not_run,not_run
swe,chartjs__Chart.js-10157,chartjs/Chart.js,c80b1450f55189a03bf3781e04559eb9b68f2129,3.7,JavaScript/TypeScript,True,12,12,True,not_run,not_run
swe,diegomura__react-pdf-1363,diegomura/react-pdf,6e1550c4c722cddbda9c09d3d375d37f477b7b3d,2.0,JavaScript/TypeScript,True,1,5,True,not_run,not_run
