dataset,instance_id,repo,base_commit,version,language,has_image_url,repo_order,repo_quota,provisional_selected,environment_status,gold_control_status
omni,assertj__assertj-2685,assertj/assertj,d5180a6d7c1af6ac7272268ee87dad54ae01ee7c,2.2,Java,False,1,1,True,not_run,not_run
omni,assertj__assertj-3120,assertj/assertj,2ee04f4a24562a3091af70f815fb07da3ae149ac,3.25,Java,False,2,1,False,not_run,not_run
omni,assertj__assertj-2364,assertj/assertj,c91eb66ab36c2d733b1c5ec3bcbb5c8b1410278a,2.2,Java,False,3,1,False,not_run,not_run
omni,assertj__assertj-2200,assertj/assertj,81ed66f4710138d30e4a4b5ab83ef2989e7f39dd,3.19,Java,False,4,1,False,not_run,not_run
omni,assertj__assertj-1763,assertj/assertj,deab4c1489ed623ec83083c083d020cd480552b7,3.14,Java,False,5,1,False,not_run,not_run
omni,assertj__assertj-1332,assertj/assertj,1747c1e5df371cef2750dc4321eaf391670e294c,3.11,Java,True,6,1,False,not_run,not_run
omni,assertj__assertj-2725,assertj/assertj,54fba280ddcd66a852e9f18242705f9bff081c34,2.2,Java,False,7,1,False,not_run,not_run
omni,assertj__assertj-2549,assertj/assertj,92548d8916425787c8a60e6dea638b285825ca12,2.2,Java,False,8,1,False,not_run,not_run
omni,assertj__assertj-2203,assertj/assertj,53c8c9a170474d0f134ad247580e3d89469363db,3.19,Java,False,9,1,False,not_run,not_run
omni,assertj__assertj-1983,assertj/assertj,8a9712c105031456f046471c81029bbf5baeee25,3.17,Java,False,10,1,False,not_run,not_run
omni,assertj__assertj-3321,assertj/assertj,2a7c5a6e205e29d42e9886657987893cb03b6875,3.25,Java,False,11,1,False,not_run,not_run
omni,babel__babel-15209,babel/babel,f6546d79d4c56809fc80d5414d6f7803eca9d59b,7.20,TypeScript,False,1,4,True,not_run,not_run
omni,babel__babel-15355,babel/babel,0f68471ef79933e192b69f2ebdf586fb5d5e54ce,7.20,TypeScript,False,2,4,True,not_run,not_run
omni,babel__babel-15103,babel/babel,292e5d6b671633d8d859b0269baf4b7c0dfc793a,7.20,TypeScript,False,3,4,True,not_run,not_run
omni,babel__babel-15198,babel/babel,31386b9eb4863eb07ec2d302e2cfcfa039eaf644,7.20,TypeScript,False,4,4,True,not_run,not_run
omni,babel__babel-16579,babel/babel,da0b8551e21d6cfdcf02fdc9655c392cc25f5916,7.24,TypeScript,False,5,4,False,not_run,not_run
omni,babel__babel-15135,babel/babel,c171a7564be63b4250239af6a70196f0fc0a96c4,7.20,TypeScript,False,6,4,False,not_run,not_run
omni,babel__babel-15489,babel/babel,48089fb29faf9c167c5ef2130f92a2f652b6d378,7.21,TypeScript,False,7,4,False,not_run,not_run
omni,babel__babel-16015,babel/babel,a345a102f6cc1d384946b165d6375f503f2ae2a3,7.23,TypeScript,False,8,4,False,not_run,not_run
omni,babel__babel-15113,babel/babel,53185ea275b0a278ac4aafe5841f2a332cabff31,7.20,TypeScript,False,9,4,False,not_run,not_run
omni,babel__babel-15104,babel/babel,292e5d6b671633d8d859b0269baf4b7c0dfc793a,7.20,TypeScript,False,10,4,False,not_run,not_run
omni,babel__babel-15160,babel/babel,156b608d48900b9489bd31aff03189a6c18f9040,7.20,TypeScript,False,11,4,False,not_run,not_run
omni,babel__babel-15290,babel/babel,d8429111305491e57f8afee705b20647cad65995,7.20,TypeScript,False,12,4,False,not_run,not_run
omni,babel__babel-15406,babel/babel,0c97749e0fe8ad845b902e0b23a24b308b0bf05d,7.20,TypeScript,False,13,4,False,not_run,not_run
omni,babel__babel-15163,babel/babel,871fd5ec0c22829495d6a11b1729feb7e9e52ad7,7.20,TypeScript,False,14,4,False,not_run,not_run
omni,babel__babel-15096,babel/babel,df147adb4ea4a13a952643566c70e509901b9a20,7.20,TypeScript,False,15,4,False,not_run,not_run
omni,babel__babel-15225,babel/babel,65c8496b8403aecb5e8bfc580c38321021d1ca16,7.20,TypeScript,False,16,4,False,not_run,not_run
omni,babel__babel-16440,babel/babel,a8994f8b7d421dd17b076c2557c9d5bd0e3faef1,7.24,TypeScript,False,17,4,False,not_run,not_run
omni,babel__babel-15923,babel/babel,b240d3f5b78b3dcda87311e3e0f9491fb570963e,7.22,TypeScript,False,18,4,False,not_run,not_run
omni,babel__babel-15294,babel/babel,d8429111305491e57f8afee705b20647cad65995,7.20,TypeScript,False,19,4,False,not_run,not_run
omni,babel__babel-15365,babel/babel,112169cc94f70fff6b0fc7641e69be8076dbc90a,7.20,TypeScript,False,20,4,False,not_run,not_run
omni,babel__babel-15467,babel/babel,9a85d70381beda6011e8703e13b3a5fd6056654a,7.21,TypeScript,True,21,4,False,not_run,not_run
omni,babel__babel-16385,babel/babel,acf3d17fdfe150a270c822581b709dddac4548ce,7.24,TypeScript,False,22,4,False,not_run,not_run
omni,babel__babel-16476,babel/babel,9c77558234c87b9220604fbc1519089e2d6334e2,7.24,TypeScript,False,23,4,False,not_run,not_run
omni,babel__babel-15241,babel/babel,859daa3c185d18901106d8e6c39898ba1ce8e8f4,7.20,TypeScript,False,24,4,False,not_run,not_run
